freq,nace_r2,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C_LTC,NR,UK	42378 	41619 	40534 	40267 	40351 	40698 	41033 	42845 	44561 b	45505 	: @C	: 	: 
A,C_LTC_M,NR,AT	7839 	7681 	7744 	7759 	7754 	7818 	7963 	7942 	7940 	8132 	7938 b	8072 	7868 p
A,C_LTC_M,NR,BA	: 	: 	: 	1557 p	1471 p	1433 p	2697 e	2781 e	2920 e	3119 b	3120 	3235 	: 
A,C_LTC_M,NR,BE	: @C	11355 	11491 	11938 	11205 	11408 	11758 	: @C	12092 	12996 	12399 b	14390 	14768 p
A,C_LTC_M,NR,BG	9611 	10418 	9794 	9479 	9139 	9141 	9232 	9328 	9390 	9286 	9317 b	9182 	8856 p
A,C_LTC_M,NR,CH	: 	6999 d	6905 bd	6861 d	6813 d	6863 d	6896 d	6735 	6629 	6549 	6465 	: 	: 
A,C_LTC_M,NR,CY	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	1823 	1838 	1834 p
A,C_LTC_M,NR,CZ	: @C	56413 	62469 	66574 	67087 	65563 	68299 	70405 	72171 	72422 	74572 	76123 	76003 p
A,C_LTC_M,NR,DE	68549 	65809 	74555 	74624 	74584 	74737 	79020 	77275 	77285 	72579 	77236 b	79730 	79466 p
A,C_LTC_M,NR,DK	7186 	6824 	6680 	6708 	6572 	6370 	6329 	6230 	6331 	6338 	6347 b	6438 	6474 p
A,C_LTC_M,NR,EE	1781 	1780 	1833 	1850 	2006 	2163 	2223 	2328 	2421 	2500 	2484 b	2657 	2732 p
A,C_LTC_M,NR,EL	24905 	23553 	22433 	: @C	18937 	16547 	19753 bp	18083 p	18011 p	16677 p	16556 b	16528 	16217 p
A,C_LTC_M,NR,ES	74999 	68189 	66897 	64178 	61155 	59824 	57626 	57817 	57853 	58804 	: @C	: @C	58087 p
A,C_LTC_M,NR,EU27_2007	: @C	704154 	744298 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,C_LTC_M,NR,EU27_2020	: 	: 	: 	712553 	703656 	695375 	710047 	699923 du	715912 du	708833 de	: @C	753843 u	: 
A,C_LTC_M,NR,EU28	: 	: 	: 	756240 	750356 	744972 	757517 	757845 du	764743 du	758569 du	790100 du	: 	: 
A,C_LTC_M,NR,FI	9301 	9064 	8902 	8939 	8898 	8851 b	8705 	8617 	8565 	8534 b	8499 	8607 	8533 p
A,C_LTC_M,NR,FR	56927 	59949 	60663 	: @C	61097 	61877 	66827 b	58065 b	61531 	52850 b	52427 	53437 	54280 p
A,C_LTC_M,NR,HR	8010 	8465 	8366 	7783 	7534 	7288 	7125 	6996 	6893 	6933 	7111 	7962 b	8016 p
A,C_LTC_M,NR,HU	17471 	19137 	18952 	18844 	18325 	17354 	17512 	18216 	18416 	18933 	19835 b	21107 	21114 p
A,C_LTC_M,NR,IE	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,C_LTC_M,NR,IS	: 	: 	: 	: 	: 	: 	: 	679 p	756 p	758 p	730 	: 	: 
A,C_LTC_M,NR,IT	161631 d	154156 	148954 	148420 	145634 	140803 	137336 	134991 	134194 	132850 b	133849 	130188 	: 
A,C_LTC_M,NR,LT	3666 	3187 	3099 	3487 	3761 	3940 	4311 	4605 	4751 	4848 	5057 b	5165 	5382 p
A,C_LTC_M,NR,LU	327 	341 	344 	337 	322 	325 	313 	301 	307 	314 b	313 	314 	316 p
A,C_LTC_M,NR,LV	1933 	1927 	1978 	1956 	2333 	2528 	2619 	2774 	2905 	2850 	2874 	2915 	2860 p
A,C_LTC_M,NR,MK	: 	: 	: 	1828 	1869 	1879 	1879 	1908 	1917 	: @C	2036 	2100 	2105 p
A,C_LTC_M,NR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,C_LTC_M,NR,NL	14537 	15357 	17207 	17562 	18545 	20925 	21438 	22381 	23263 	23920 	25522 	27171 	28467 p
A,C_LTC_M,NR,NO	5742 d	5710 	5632 	5851 	5966 	5987 	5965 	6053 	6041 	6085 	6004 b	6221 	6199 p
A,C_LTC_M,NR,PL	76772 	69382 	70561 	73295 	71733 	73540 	75480 	80021 	84465 	85406 	100630 b	103715 	105723 p
A,C_LTC_M,NR,PT	24920 	23841 	22476 	21972 	20900 	20289 	20177 	20365 	20506 	20741 	21173 	21556 	21389 p
A,C_LTC_M,NR,RO	15157 	15604 p	13773 	12720 	13020 	13209 	13632 	13626 	13764 	14130 	14563 b	15098 	15905 p
A,C_LTC_M,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	4325 p	4106 p	4103 	4108 	4147 p
A,C_LTC_M,NR,SE	20717 	20678 	20947 	21110 	21207 	20873 	: @C	20778 	20844 	20888 	18320 b	18394 	18385 p
A,C_LTC_M,NR,SI	7765 	7701 	7631 	7608 	7708 	7839 	7917 	8093 	8161 	8291 	8441 	8626 	8727 p
A,C_LTC_M,NR,SK	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,C_LTC_M,NR,TR	: 	89506 	: 	: 	: 	101810 	102551 	: 	: 	: 	: 	: 	: 
A,C_LTC_M,NR,UK	44108 	44231 	43416 	43687 	46700 	49597 	47470 	50666 	52846 b	53425 	53820 	: 	: 
A,HTC,NR,AT	16010 	15934 	17260 	17717 	18211 	18602 	19009 	19117 	19135 	20261 	20380 b	21967 	: 
A,HTC,NR,BA	: 	: 	: 	: @C	880 p	838 p	1028 e	1133 e	: @C	1306 b	1444 	1539 	: 
